,Country_Code,Country_Name,year,tem_change
14007,GRL,Greenland,2010,3.042
13953,CAN,Canada,2010,2.917
13926,ARM,Armenia,2010,2.703
14033,KWT,Kuwait,2010,2.643
14022,IRQ,Iraq,2010,2.597
14029,JOR,Jordan,2010,2.556
14130,SYR,Syrian Arab Republic,2010,2.489
13950,CPV,Cabo Verde,2010,2.45
14002,GEO,Georgia,2010,2.449
14139,TUR,Turkey,2010,2.365
