,Country_Code,Country_Name,year,tem_change
8299,DNK,Denmark,1990,1.835
8240,AND,Andorra,1990,1.734
8410,POL,Poland,1990,1.712
8448,SWE,Sweden,1990,1.695
8447,SJM,Svalbard and Jan Mayen Islands,1990,1.632
8323,DEU,Germany,1990,1.571
8316,FRA,France,1990,1.563
8388,NLD,Netherlands,1990,1.563
8379,MNG,Mongolia,1990,1.559
8458,TUN,Tunisia,1990,1.556
