,Country_Code,Country_Name,year,tem_change
5589,SEN,Senegal,1980,0.967
5528,MLI,Mali,1980,0.963
5430,CPV,Cabo Verde,1980,0.957
5433,CAN,Canada,1980,0.921
5487,GRL,Greenland,1980,0.919
5407,ABW,Aruba,1980,0.888
5460,DJI,Djibouti,1980,0.882
5408,AUS,Australia,1980,0.862
5481,GMB,Gambia,1980,0.861
5532,MRT,Mauritania,1980,0.857
