,Country_Code,Country_Name,year,tem_change
11148,EST,Estonia,2000,2.075
11155,FIN,Finland,2000,2.04
11202,LTU,Lithuania,2000,2.015
11196,LVA,Latvia,2000,2.011
11287,SJM,Svalbard and Jan Mayen Islands,2000,1.976
11095,BLR,Belarus,2000,1.922
11135,CZE,Czechia,2000,1.913
11250,POL,Poland,2000,1.885
11276,SVN,Slovenia,2000,1.804
11089,AUT,Austria,2000,1.772
